timestamp,reqNum
1541550356,1
1541550357,36
1541550358,49
1541550359,48
1541550360,49
1541550361,31
1541550362,49
1541550363,48
1541550364,45
1541550365,48
1541550366,51
1541550367,49
1541550368,46
1541550369,34
1541550370,28
1541550371,48
1541550372,44
1541550373,48
1541550374,35
1541550375,50
1541550376,51
1541550377,43
1541550378,48
1541550379,36
1541550380,48
1541550381,43
1541550382,44
1541550383,39
1541550384,47
1541550385,46
1541550386,31
1541550387,49
1541550388,50
1541550389,39
1541550390,47
1541550391,210
1541550392,220
1541550393,150
1541550394,226
1541550395,249
1541550396,224
1541550397,240
1541550398,194
1541550399,253
1541550400,234
1541550401,221
1541550402,205
1541550403,262
1541550404,260
1541550405,265
1541550406,242
1541550407,255
1541550408,242
1541550409,204
1541550410,201
1541550411,231
1541550412,226
1541550413,218
1541550414,192
1541550415,218
1541550416,194
1541550417,215
1541550418,223
1541550419,225
1541550420,250
1541550421,215
1541550422,251
1541550423,258
1541550424,213
1541550425,235
1541550426,253
1541550427,242
1541550428,268
1541550429,235
1541550430,214
1541550431,245
1541550432,261
1541550433,245
1541550434,256
1541550435,260
1541550436,225
1541550437,238
1541550438,264
1541550439,242
1541550440,245
1541550441,237
1541550442,266
1541550443,196
1541550444,117
1541550445,48
1541550446,257
1541550447,474
1541550448,502
1541550449,428
1541550450,502
1541550451,506
1541550452,397
1541550453,473
1541550454,360
1541550455,393
1541550456,477
1541550457,509
1541550458,411
1541550459,519
1541550460,531
1541550461,267
1541550462,486
1541550463,505
1541550464,482
1541550465,504
1541550466,520
1541550467,483
1541550468,477
1541550469,466
1541550470,405
1541550471,477
1541550472,463
1541550473,470
1541550474,451
1541550475,509
1541550476,317
1541550477,529
1541550478,511
1541550479,458
1541550480,479
1541550481,407
1541550482,478
1541550483,516
1541550484,487
1541550485,502
1541550486,511
1541550487,522
1541550488,531
1541550489,506
1541550490,413
1541550491,417
1541550492,520
1541550493,503
1541550494,530
1541550495,526
1541550496,493
1541550497,478
1541550498,516
1541550499,457
1541550500,518
1541550501,410
1541550502,509
1541550503,448
1541550504,413
1541550505,493
1541550506,501
1541550507,452
1541550508,422
1541550509,447
1541550510,516
1541550511,370
1541550512,486
1541550513,424
1541550514,403
1541550515,512
1541550516,472
1541550517,458
1541550518,382
1541550519,420
1541550520,476
1541550521,461
1541550522,426
1541550523,483
1541550524,456
1541550525,432
1541550526,434
1541550527,491
1541550528,427
1541550529,435
1541550530,444
1541550531,495
1541550532,369
1541550533,500
1541550534,490
1541550535,454
1541550536,462
1541550537,467
1541550538,460
1541550539,442
1541550540,477
1541550541,465
1541550542,394
1541550543,439
1541550544,427
1541550545,456
1541550546,428
1541550547,379
1541550548,480
1541550549,404
1541550550,510
1541550551,460
1541550552,478
1541550553,444
1541550554,359
1541550555,397
1541550556,348
1541550557,282
1541550558,324
1541550559,361
1541550560,410
1541550561,330
1541550562,366
1541550563,411
1541550564,366
1541550565,396
1541550566,365
1541550567,240
1541550568,155
1541550569,107
1541550570,81
1541550571,86
1541550572,80
1541550573,76
1541550574,78
1541550575,73
1541550576,86
1541550577,92
1541550578,86
1541550579,95
1541550580,70
1541550581,94
1541550582,92
1541550583,95
1541550584,78
1541550585,88
1541550586,78
1541550587,78
1541550588,86
1541550589,78
1541550590,77
1541550591,72
1541550592,76
1541550593,85
1541550594,72
1541550595,92
1541550596,83
1541550597,78
1541550598,64
1541550599,89
1541550600,87
1541550601,73
1541550602,46
1541550603,54
1541550604,75
1541550605,82
1541550606,92
1541550607,83
1541550608,81
1541550609,76
1541550610,79
1541550611,71
1541550612,93
1541550613,87
1541550614,78
1541550615,98
1541550616,69
1541550617,92
1541550618,76
1541550619,84
1541550620,74
1541550621,92
1541550622,77
1541550623,89
1541550624,83
1541550625,88
1541550626,92
1541550627,88
1541550628,82
1541550629,40
1541550630,26
1541550631,27
1541550632,25
1541550633,88
1541550634,87
1541550635,3
